,Type,RIC
1051,K:FINC,8018
1052,K:FOCK,1909
1053,K:FCHL,8215
1054,K:PUBL,0227
1055,K:FTH,0038
1056,K:FFSH,8030
1057,K:FLYK,1998
1058,K:GAYE,8179
1059,K:FGHL,0484
1060,K:FSUN,0352
1061,K:FFIC,2528
1062,K:FNHK,0418
1063,K:FSET,0420
1064,K:FOUS,0374
1065,K:TFHM,0279
1066,K:FRRT,6888
1067,K:FUJI,1175
1068,K:FRIE,6820
1069,K:FROH,1521
1070,K:CAPE,0500
1071,K:FSEE,0331
1072,K:FSMH,1721
1073,K:FSFH,2263
1074,K:FUFE,0546
1075,K:KAIM,0181
1076,K:FJQI,1353
1077,K:FUIN,0927
1078,K:WARD,0607
1079,K:URGT,0627
1080,K:FUCH,1034
1081,K:FULM,1443
1082,K:FNWH,8480
1083,K:FUSE,1652
1084,K:FTON,0465
1085,K:SURG,0703
1086,K:FUTU,2212
1087,K:FDGL,8229
1088,K:SPRD,0572
1089,K:FYFN,8452
1090,K:GMHS,6038
1091,K:RICH,1051
1092,K:CCCH,0657
1093,K:GAHL,8126
1094,K:GAIN,9900
1095,K:GOME,8282
1096,K:GCPG,6968
1097,K:MEGG,0261
1098,K:SAME,0451
1099,K:GCLP,3800
1100,K:GMLG,6163
1101,K:KEES,0174
1102,K:UMFT,2666
1103,K:GTGC,8257
1104,K:STC,0678
1105,K:GHDG,1707
1106,K:INWD,8100
1107,K:GNFL,1469
1108,K:GNIC,0064
1109,K:GHWI,9933
1110,K:GIOR,0709
1111,K:GBIO,0809
1112,K:GBGH,0787
1113,K:GDC,8271
1114,K:GICG,1669
1115,K:GLNK,8060
1116,K:HAYW,0905
1117,K:TRGO,8063
1118,K:DIHK,8007
1119,K:GSWE,3889
1120,K:AGL,8192
1121,K:GPHL,0845
1122,K:GLOR,0393
1123,K:GLOZ,8059
1124,K:GLMK,8159
1125,K:SNCM,0299
1126,K:GMEG,8188
1127,K:HYIL,1396
1128,K:GNAN,3399
1129,K:GFHL,1854
1130,K:GRLH,1529
1131,K:GDPK,0040
1132,K:NGAC,1462
1133,K:ISLD,0172
1134,K:TAKW,0091
1135,K:GFGH,2863
1136,K:GMED,0801
1137,K:GOPH,1783
1138,K:GPGH,3919
1139,K:GDEV,0677
1140,K:GSHI,2123
1141,K:GTHG,6896
1142,K:GWTH,1232
1143,K:LION,0533
1144,K:GPGL,3315
1145,K:INEL,1328
1146,K:GLDW,8160
1147,K:DAHB,1118
1148,K:TEEM,0628
1149,K:GAEN,8143
1150,K:GTIN,2398
1151,K:QTEC,0109
1152,K:GBIH,1086
1153,K:BLDM,0108
1154,K:GRAC,8146
1155,K:BAGL,1293
1156,K:GBRL,8372
1157,K:COIL,0115
1158,K:GMGH,1271
1159,K:ATT,0065
1160,K:GMES,8108
1161,K:ESPC,8299
1162,K:GTGH,8516
1163,K:SHSL,1647
1164,K:GRCB,1551
1165,K:BEAU,0021
1166,K:GRH,3683
1167,K:SWIL,0524
1168,K:SCMP,0583
1169,K:GWHL,8196
1170,K:TSCO,8003
1171,K:ANA,1189
1172,K:PAMF,0431
