,Instrument,IPO Date,Turnover,Relative Valuation EV/EBITDA Component,Outstanding Shares,TRBC Economic Sector Name
367,1451.HK,1/6/2018,8260,100,200000000,Basic Materials
368,6119.HK,1/6/2018,48555,98,600000000,Industrials
369,1757.HK,7/6/2018,105520,2,1200000000,Industrials
370,1806.HK,15/6/2018,4000424,100,1302089918,Industrials
371,2003.HK,21/6/2018,2630434,,495524389,Financials
372,1916.HK,26/6/2018,31940,,6024276901,Financials
373,1749.HK,27/6/2018,1483760,3,133400000,Consumer Cyclicals
374,1587.HK,27/6/2018,31220,,680000000,Consumer Non-Cyclicals
375,1620.HK,28/6/2018,14130,98,1200000000,Consumer Cyclicals
376,6100.HK,29/6/2018,9452944,33,521457932,Industrials
377,1592.HK,4/7/2018,1724275,5,1224000000,Basic Materials
378,2262.HK,5/7/2018,11792955,90,1140039000,Consumer Cyclicals
379,1763.HK,6/7/2018,5752740,76,319874900,Healthcare
380,1810.HK,9/7/2018,2691917901,18,26198387679,Technology
381,6190.HK,10/7/2018,,,2407367200,Financials
382,1652.HK,11/7/2018,1358285,21,775101000,Healthcare
383,1746.HK,11/7/2018,172500,7,1000000000,Industrials
384,6860.HK,12/7/2018,81790,100,1931387000,Technology
385,3700.HK,12/7/2018,3176370,,2006956000,Technology
386,1760.HK,12/7/2018,866600,47,1035975000,Consumer Cyclicals
387,1739.HK,5/7/2018,20330,3,1184904590,Technology
388,1996.HK,12/7/2018,9623690,61,3321002000,Real Estate
389,1773.HK,12/7/2018,127162913,23,2075000000,Academic & Educational Services
390,2051.HK,13/7/2018,420440,,1358320188,Technology
391,1775.HK,13/7/2018,57080,96,500000000,Academic & Educational Services
392,1731.HK,13/7/2018,31000,,1120000000,Consumer Cyclicals
393,1721.HK,16/7/2018,,,1000000000,Basic Materials
394,1968.HK,16/7/2018,19100,100,640000000,Consumer Cyclicals
395,1715.HK,16/7/2018,205700,13,1500000000,Consumer Cyclicals
396,0797.HK,18/7/2018,5098340,26,2619500000,Technology
397,3302.HK,18/7/2018,,,857419324,Industrials
398,1576.HK,19/7/2018,22750,100,2000000000,Industrials
399,2048.HK,20/7/2018,17215311,80,1385374700,Real Estate
400,1758.HK,31/7/2018,119160,78,821856000,Academic & Educational Services
401,1672.HK,1/8/2018,1677660,,1106336000,Healthcare
402,1765.HK,3/8/2018,23713720,40,7229881918,Academic & Educational Services
403,6160.HK,3/2/2016,71510670,2,1175217123,Healthcare
404,0788.HK,8/8/2018,745572962,92,1.76008E+11,Industrials
405,1725.HK,16/8/2018,84700,53,300000000,Technology
406,1783.HK,22/8/2018,7750,,800000000,Industrials
407,1615.HK,10/9/2018,1170,,600000000,Industrials
408,1969.HK,13/9/2018,,,1200000000,Academic & Educational Services
409,2552.HK,14/9/2018,7434725,1,1054893800,Healthcare
410,2680.HK,14/9/2018,27930,,400000000,Industrials
411,3690.HK,20/9/2018,3759885683,7,5881008262,Technology
412,6862.HK,26/9/2018,170077677,12,5300000000,Consumer Cyclicals
413,1748.HK,26/9/2018,449320,62,440000000,Industrials
414,1911.HK,27/9/2018,1568736,,534845112,Financials
415,1723.HK,27/9/2018,2159620,19,400000000,Technology
416,1787.HK,28/8/2003,184576882,54,699503419,Basic Materials
417,1781.HK,4/10/2018,,,540000000,Basic Materials
418,1540.HK,8/10/2018,62546,100,498671823,Industrials
419,1809.HK,9/10/2018,1986080,85,635375000,Consumer Cyclicals
420,6111.HK,11/10/2018,3570550,35,827880000,Real Estate
421,1772.HK,10/8/2010,84929696,13,240222800,Basic Materials
422,3990.HK,11/10/2018,52908576,86,1230567000,Real Estate
423,1939.HK,11/10/2018,38510,61,500000000,Consumer Cyclicals
424,1894.HK,12/10/2018,1997760,67,767600000,Industrials
425,1741.HK,16/10/2018,50960,13,800000000,Industrials
426,1653.HK,19/10/2018,173780,91,240000000,Consumer Cyclicals
427,1825.HK,19/10/2018,101370,1,800000000,Consumer Cyclicals
428,1034.HK,30/10/2018,12480,1,1600000000,Industrials
429,1801.HK,31/10/2018,332377088,3,1399731497,Healthcare
430,1712.HK,5/11/2018,2572030,,138840613,Basic Materials
431,1755.HK,6/11/2018,32697562,30,819110000,Real Estate
432,3616.HK,12/11/2018,1059700,99,1200000000,Real Estate
433,1835.HK,13/11/2018,,,153340000,Financials
434,6890.HK,19/11/2018,20120,89,606252000,Basic Materials
435,2258.HK,19/11/2018,236380,100,825400000,Industrials
